Date;Day;Title;Bank Holiday
01/01/2010;Friday;New Year's Day;1
06/01/2010;Wednesday;Epiphany;1
01/04/2010;Thursday;Maundy Thursday;1
02/04/2010;Friday;Maundy Friday;1
01/05/2010;Saturday;Labor Day;1
15/08/2010;Sunday;Assumption Day;1
12/10/2010;Tuesday;National Day (Spain);1
01/11/2010;Monday;All Saints' Day;1
06/12/2010;Monday;Constitution Day (Spain);1
08/12/2010;Wednesday;Immaculate Conception;1
25/12/2010;Saturday;Christmas;1
01/01/2011;Saturday;New Year's Day;1
06/01/2011;Thursday;Epiphany;1
21/04/2011;Thursday;Maundy Thursday;1
22/04/2011;Friday;Maundy Friday;1
01/05/2011;Sunday;Labor Day;1
15/08/2011;Monday;Assumption Day;1
12/10/2011;Wednesday;National Day (Spain);1
01/11/2011;Tuesday;All Saints' Day;1
06/12/2011;Tuesday;Constitution Day (Spain);1
08/12/2011;Thursday;Immaculate Conception;1
25/12/2011;Sunday;Christmas;1
01/01/2012;Sunday;New Year's Day;1
06/01/2012;Friday;Epiphany;1
05/04/2012;Thursday;Maundy Thursday;1
06/04/2012;Friday;Maundy Friday;1
01/05/2012;Tuesday;Labor Day;1
15/08/2012;Wednesday;Assumption Day;1
12/10/2012;Friday;National Day (Spain);1
01/11/2012;Thursday;All Saints' Day;1
06/12/2012;Thursday;Constitution Day (Spain);1
08/12/2012;Saturday;Immaculate Conception;1
25/12/2012;Tuesday;Christmas;1
01/01/2013;Tuesday;New Year's Day;1
06/01/2013;Sunday;Epiphany;1
28/03/2013;Thursday;Maundy Thursday;1
29/03/2013;Friday;Maundy Friday;1
01/05/2013;Wednesday;Labor Day;1
15/08/2013;Thursday;Assumption Day;1
12/10/2013;Saturday;National Day (Spain);1
01/11/2013;Friday;All Saints' Day;1
06/12/2013;Friday;Constitution Day (Spain);1
08/12/2013;Sunday;Immaculate Conception;1
25/12/2013;Wednesday;sa;1
01/01/2014;Wednesday;New Year's Day;1
06/01/2014;Monday;Epiphany;1
17/04/2014;Thursday;Maundy Thursday;1
18/04/2014;Friday;Maundy Friday;1
01/05/2014;Thursday;Labor Day;1
15/08/2014;Friday;Assumption Day;1
12/10/2014;Sunday;National Day (Spain);1
01/11/2014;Saturday;All Saints' Day;1
06/12/2014;Saturday;Constitution Day (Spain);1
08/12/2014;Monday;Immaculate Conception;1
25/12/2014;Thursday;Christmas;1
01/01/2015;Thursday;New Year's Day;1
06/01/2015;Tuesday;Epiphany;1
02/04/2015;Thursday;Maundy Thursday;1
03/04/2015;Friday;Maundy Friday;1
01/05/2015;Friday;Labor Day;1
15/08/2015;Saturday;Assumption Day;1
12/10/2015;Monday;National Day (Spain);1
01/11/2015;Sunday;All Saints' Day;1
06/12/2015;Sunday;Constitution Day (Spain);1
08/12/2015;Tuesday;Immaculate Conception;1
25/12/2015;Friday;Christmas;1
01/01/2016;Friday;New Year's Day;1
06/01/2016;Wednesday;Epiphany;1
24/03/2016;Thursday;Maundy Thursday;1
25/03/2016;Friday;Maundy Friday;1
01/05/2016;Sunday;Labor Day;1
15/08/2016;Monday;Assumption Day;1
12/10/2016;Wednesday;National Day (Spain);1
01/11/2016;Tuesday;All Saints' Day;1
06/12/2016;Tuesday;Constitution Day (Spain);1
08/12/2016;Thursday;Immaculate Conception;1
25/12/2016;Sunday;Christmas;1
01/01/2017;Sunday;New Year's Day;1
06/01/2017;Friday;Epiphany;1
13/04/2017;Thursday;Maundy Thursday;1
14/04/2017;Friday;Maundy Friday;1
01/05/2017;Monday;Labor Day;1
15/08/2017;Tuesday;Assumption Day;1
12/10/2017;Thursday;National Day (Spain);1
01/11/2017;Wednesday;All Saints' Day;1
06/12/2017;Wednesday;Constitution Day (Spain);1
08/12/2017;Friday;Immaculate Conception;1
25/12/2017;Monday;Christmas;1
01/01/2018;Monday;New Year's Day;1
06/01/2018;Saturday;Epiphany;1
29/03/2018;Thursday;Maundy Thursday;1
30/03/2018;Friday;Maundy Friday;1
01/05/2018;Tuesday;Labor Day;1
15/08/2018;Wednesday;Assumption Day;1
12/10/2018;Friday;National Day (Spain);1
01/11/2018;Thursday;All Saints' Day;1
06/12/2018;Thursday;Constitution Day (Spain);1
08/12/2018;Saturday;Immaculate Conception;1
25/12/2018;Tuesday;Christmas;1
01/01/2019;Monday;New Year's Day;1
06/01/2019;Sunday;Epiphany;1
18/04/2019;Thursday;Maundy Thursday;1
19/04/2019;Friday;Maundy Friday;1
01/05/2019;Wednesday;Labor Day;1
15/08/2019;Thursday;Assumption Day;1
12/10/2019;Saturday;National Day (Spain);1
01/11/2019;Friday;All Saints' Day;1
06/12/2019;Friday;Constitution Day (Spain);1
08/12/2019;Sunday;Immaculate Conception;1
25/12/2019;Wednesday;Christmas;1
01/01/2020;Wednesday;New Year's Day;1
06/01/2020;Monday;Epiphany;1
09/04/2020;Thursday;Maundy Thursday;1
10/04/2020;Friday;Maundy Friday;1
01/05/2020;Friday;Labor Day;1
15/08/2020;Saturday;Assumption Day;1
12/10/2020;Monday;National Day (Spain);1
01/11/2020;Sunday;All Saints' Day;1
06/12/2020;Sunday;Constitution Day (Spain);1
08/12/2020;Tuesday;Immaculate Conception;1
25/12/2020;Friday;Christmas;1
